ID,name
Southern Illinois University Edwardsville,Southern Illinois University Edwardsville
Spaulding Rehabilitation Hospital - Boston,Spaulding Rehabilitation Hospital - Boston
St. Jude Children's Research Hospital,St. Jude Children's Research Hospital
Stanford University,Stanford University
Syracuse University,Syracuse University
Temple University,Temple University
Texas A&M Engineering Experiment Station (TEES),Texas A&M Engineering Experiment Station (TEES)
Texas A&M University,Texas A&M University
Texas State University,Texas State University 
Texas Tech University,Texas Tech University
The Feinstein,The Feinstein
The George Washington University,The George Washington University
The Jackson Laboratory,The Jackson Laboratory
The Miriam Hospital,The Miriam Hospital
The New School (TNS),The New School (TNS)
The Ohio State University,The Ohio State University
The Salk Institute,The Salk Institute
The University of Alabama,The University of Alabama
The University of Alabama in Huntsville,The University of Alabama in Huntsville
The University of North Carolina at Greensboro,The University of North Carolina at Greensboro
The University of Texas at Arlington,The University of Texas at Arlington
The University of Texas at Dallas,The University of Texas at Dallas
The University of Texas Health Science Center at Houston,The University of Texas Health Science Center at Houston
The University of Texas Health Science Center at San Antonio,The University of Texas Health Science Center at San Antonio
Tufts Medical Center  Inc,Tufts Medical Center  Inc
Tufts University  Health Sciences Campus (Boston),Tufts University  Health Sciences Campus (Boston)
ASSOC0064,College of American Pathologists
F524,University Hospitals Of Cleveland
F836,Williams College
LEADER BRAND PRODUCTS,LEADER BRAND PRODUCTS
9659,Dartmouth College
ASSOC0066,Endocrine Society  The
ASSOC0065,Council of Medical Specialty Societies
FEFE,Gallaudet University
NOVO NORDISK PHARMACEUTICALS INC.,NOVO NORDISK PHARMACEUTICALS INC.
MTA,Material Transfer Agreements
SUN PHARMACEUTICALS INDUSTRIES LTD,SUN PHARMACEUTICALS INDUSTRIES LTD
NOVARTIS CONSUMER HEALTH  INC.,NOVARTIS CONSUMER HEALTH  INC.
9196,Texas A&M University
8283,Chabot College
7989,Radcliffe College
Tufts University  Medford,Tufts University  Medford
UNC-Chapel Hill,UNC-Chapel Hill
University Enterprises  Inc. (on behalf of California State University  Sacramento),University Enterprises  Inc. (on behalf of California State University  Sacramento)
University of Alabama at Birmingham,University of Alabama at Birmingham
University of Alaska Fairbanks,University of Alaska Fairbanks
University of Arizona,University of Arizona
University of Arkansas,University of Arkansas
University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences
University of California San Diego,University of California San Diego
University of California  Berkeley,University of California  Berkeley
University of California  Davis,University of California  Davis
University of California  Irvine,University of California  Irvine
University of California  Los Angeles,University of California  Los Angeles
University of California  Riverside,University of California  Riverside
University of California  San Francisco,University of California  San Francisco
University of California  Santa Cruz,University of California  Santa Cruz
University of Central Florida,University of Central Florida
University Of Chicago,University Of Chicago
University of Cincinnati,University of Cincinnati
University of Colorado Boulder,University of Colorado Boulder
University of Colorado Denver | Anschutz Medical Campus,University of Colorado Denver | Anschutz Medical Campus 
University of Connecticut,University of Connecticut
University of Delaware,University of Delaware
University of Florida,University of Florida
University of Georgia,University of Georgia
University of Georgia Research Foundation  Inc.,University of Georgia Research Foundation  Inc.
University of Hawaii,University of Hawaii
University of Houston,University of Houston
University of Idaho,University of Idaho
University of Illinois,University of Illinois
University of Illinois at Chicago (UIC),University of Illinois at Chicago (UIC)
University of Iowa,University of Iowa
University of Kansas Center for Research  Inc.,University of Kansas Center for Research  Inc.
University of Kansas Medical Center Research Institute  Inc.,University of Kansas Medical Center Research Institute  Inc.
University of Kentucky,University of Kentucky
University of Maryland Center for Environmental Science (UMCES),University of Maryland Center for Environmental Science (UMCES)
University of Maryland  Baltimore,University of Maryland  Baltimore
University of Maryland  Baltimore County,University of Maryland  Baltimore County
University of Maryland  College Park,University of Maryland  College Park
University of Massachusetts Lowell,University of Massachusetts Lowell
University of Massachusetts Medical School,University of Massachusetts Medical School
University of Miami - Dept of Education Only,University of Miami - Dept of Education Only
University of Miami - Coral Gables,University of Miami - Coral Gables 
University of Miami - Medical - Miller School of Medicine,University of Miami - Medical - Miller School of Medicine 
University of Miami RSMAS - Rosenstiel School of Marine & Atmospheric Sciences,University of Miami RSMAS - Rosenstiel School of Marine & Atmospheric Sciences
University of Michigan,University of Michigan
University of Minnesota - Crookston,University of Minnesota - Crookston
University of Minnesota - Duluth,University of Minnesota - Duluth
University of Minnesota - Morris,University of Minnesota - Morris
University of Minnesota - Twin Cities,University of Minnesota - Twin Cities
University of Missouri-Columbia,University of Missouri-Columbia
University of Nebraska Medical Center,University of Nebraska Medical Center
University of Nebraska-Lincoln,University of Nebraska-Lincoln
University of Nevada Las Vegas,University of Nevada Las Vegas
University of Nevada  Reno,University of Nevada  Reno
University of New Mexico,University of New Mexico
University of New Orleans,University of New Orleans
University of North Dakota,University of North Dakota
University of North Texas,University of North Texas
University of Notre Dame,University of Notre Dame
University of Oklahoma,University of Oklahoma
University of Pennsylvania,University of Pennsylvania
University of Pittsburgh,University of Pittsburgh
University of Rhode Island (URI),University of Rhode Island (URI)
University of Rochester,University of Rochester
University of South Alabama,University of South Alabama
University of South Florida,University of South Florida
University of Southern California,University of Southern California
University of Tennessee Health Science Center (UTHSC),University of Tennessee Health Science Center (UTHSC)
University of Tennessee  Knoxville,University of Tennessee  Knoxville
University of Texas at El Paso,University of Texas at El Paso
University of Texas at San Antonio,University of Texas at San Antonio
University of Texas MD Anderson Cancer Center,University of Texas MD Anderson Cancer Center
University of Texas Medical Branch at Galveston,University of Texas Medical Branch at Galveston
University of Texas  Austin,University of Texas  Austin
University of Virginia,University of Virginia
University of Wisconsin-Madison,University of Wisconsin-Madison
6921,Natl Hispanic University
7963,Wellesley College
9325,Wayne State University
ASSOC0016,American Association of Neurological Surgeons
8832,Michigan State University
SANDOZ  INC,SANDOZ  INC
HARRIS PHARMACEUTICAL,HARRIS PHARMACEUTICAL
9003,Princeton University
9618,Georgia Health Sciences University
7998,University Of Medicine And Dentistry Of New Jersey
9367,University Of Texas-Houston
BOCA PHARMACAL  INC.,BOCA PHARMACAL  INC.
MIDLOTHIAN LABORATORIES  LLC,MIDLOTHIAN LABORATORIES  LLC
6844,Fresno City College
FD07,Cleveland State University
247,Santa Barbara City College
BIOGEN,Biogen
Center for Global Health Initiatives,Center for Global Health Initiatives
9561,Auburn University
UT Southwestern Medical Center,UT Southwestern Medical Center
Vanderbilt University,Vanderbilt University
Vanderbilt University Medical Center,Vanderbilt University Medical Center
Virginia Commonwealth University,Virginia Commonwealth University
Virginia Polytechnic Institute and State University (Virginia Tech),Virginia Polytechnic Institute and State University (Virginia Tech)
Wake Forest University Health Sciences,Wake Forest University Health Sciences
Washington State University,Washington State University
Washington University in St. Louis,Washington University in St. Louis
Wayne State University,Wayne State University
West Virginia University,West Virginia University
West Virginia University Research Corporation,West Virginia University Research Corporation
Western Michigan University,Western Michigan University 
Wright State University,Wright State University
Yale University,Yale University
8258,Cedars-Sinai Medical Center
CMH,Children's Memorial Hospital
MERCK & CO.  INC.,MERCK & CO.  INC.
4175,University Of Manitoba (Canada) 
Rehabilitation,Rehabilitation
ASSOC0055,American Society of Anesthesiologists
ACS,American College of Surgeons Oncology Group
Norman Noble  Inc.,Norman Noble  Inc.
ASSOC0004,American Academy of Child & Adolescent Psychiatry
9257,University Medical Research Foundation
MONARCH PHARMACEUTICAL CORPORATION,MONARCH PHARMACEUTICAL CORPORATION
VIIV HEALTHCARE CO.,VIIV HEALTHCARE CO.
MACOVEN PHARACEUTICALS  INC.,MACOVEN PHARACEUTICALS  INC.
9754,Brigham Young University
9265,University Of Houston
UNICHEM PHARMACEUTICALS (USA)  INC.,UNICHEM PHARMACEUTICALS (USA)  INC.
9984,Mills College
Department of Energy,Department of Energy
Department of Defense,Department of Defense
7820,Boston College
9273,University Of Maryland
HERITAGE PHARMACEUTICALS  INC.,HERITAGE PHARMACEUTICALS  INC.
ASSOC0035,American College of Cardiology
ASSOC0067,Federation of State Medical Boards of the United States
BioFactura  Inc.,BioFactura  Inc.
ASSOC0059,American Society of Ophthalmic Plastic and Reconstructive Surgery
WARNER CHILCOTT LABORATORIES,WARNER CHILCOTT LABORATORIES
SUN PHARMA GLOBAL  INC.,SUN PHARMA GLOBAL  INC.
CAMBER PHARMACEUTICALS,CAMBER PHARMACEUTICALS
8866,Michigan Technological University
9160,St. Louis University
VALEANT PHARMACEUTICALS NORTH AMERICA,VALEANT PHARMACEUTICALS NORTH AMERICA
Metabolism & Endocrin,Metabolism & Endocrin
V8WC,University Of Texas Health Science Center At San Antonio
INTERNATIONAL MEDICATION SYSTEMS LTD,INTERNATIONAL MEDICATION SYSTEMS LTD
ASTRAZENECA LP,ASTRAZENECA LP
ASSOC0060,American Society of Plastic and Reconstructive Surgeons
9162,Stanford University
GENEVA PHARMACEUTICALS  INC. ,GENEVA PHARMACEUTICALS  INC. 
ALZHEI,Alzheimer's Association
Audit and Quality Assurance,Audit and Quality Assurance
9961,Brown University
MGP - MORTON GROVE PHARMACEUTICALS  INC,MGP - MORTON GROVE PHARMACEUTICALS  INC
Immunology,Immunology          
PROETHIC PHARMACEUTICALS,PROETHIC PHARMACEUTICALS
QUALITEST PRODUCTS  INC.,QUALITEST PRODUCTS  INC.
4542,Capital University
University of Washington,University of Washington
Biomedical Engineering,Biomedical Engineering
PDRX PHARMACEUTICALS  INC.,PDRX PHARMACEUTICALS  INC.
Radiology,Radiology
MYLAN PHARMACEUTICALS  INC.,MYLAN PHARMACEUTICALS  INC.
CLAY-PARK LABS INC,CLAY-PARK LABS INC
9258,University Of Chile
7033,University Of British Columbia (Canada)
Pana-BioFactura,Pana-BioFactura
Legal Affairs,Legal Affairs
MEDICIS DERMATOLOGICS  INC.,MEDICIS DERMATOLOGICS  INC.
ASSOC0036,American College of Chest Physicians
APOTEX USA INC.,APOTEX USA INC.
BudgetingPlaceholder,BudgetingPlaceholder
9199,Texas Technical University
8576,Howard University
9522,Brandeis University
CEPHALON  INC,CEPHALON  INC
ASSOC0015,American Association of Electrodiagnostic Medicine
ASSOC0072,National Heart  Lung  and Blood Institute
9279,University Of Iowa
CTRF,Cancer Treatment Research Foundation
7940,Tennessee State University
8304,Colorado State University
ASSOC0042,American College of Rheumatology
LILLY USA  LLC,LILLY USA  LLC
BAYER,Bayer
7708,Oklahoma State University
ASSOC0069,National Cancer Institute
ASSOC0084,Society of American Gastrointestinal Endoscopic Surgeons
HI-TECH PHARMACAL CO. INC. ,HI-TECH PHARMACAL CO. INC. 
ASSOC0044,American Heart Association
ASSOC0048,American Psychiatric Association
SHIONOGI INC,SHIONOGI INC
LUPIN PHARMACEUTICALS  INC.,LUPIN PHARMACEUTICALS  INC.
ZOW Pharmaceuticals,ZOW Pharmaceuticals
9118,Smith College
MIDLAND HEALTHCARE  LLC,MIDLAND HEALTHCARE  LLC
ASSOC0013,American Association of Clinical Endocrinologists
9356,University Of Texas-Dallas
Training and Education,Training and Education
409,Henderson State University
9767,University Of South Florida
8811,Meiji University
KARALEX PHARMA  LLC,KARALEX PHARMA  LLC
8527,George Washington University
F1A8,Point Loma Nazarene University
V8HV,University Of Texas Medical Branch At Galveston
9612,Kuakini Medical Center
6752,Calif Virtual University
ASSOC0010,American Academy of Pain Medicine
ABIM,American Board of Internal Medicine
WOCKHARDT USA,WOCKHARDT USA
Neurology,Neurology
ASSOC0011,American Academy of Pediatrics
8394,Duke University
5890,Santa Clara University
CARLSBAD TECHNOLOGY  INC.,CARLSBAD TECHNOLOGY  INC.
Tufts University,Tufts University
ASSOC0030,American Board of Preventive Medicine
COG,Children's Oncology Group
9616,Syracuse University
National Science Foundation,National Science Foundation
9289,University Of Oklahoma
Juvenile Diabetes Research Foundation,Juvenile Diabetes Research Foundation
ASSOC0022,American Board of Medical Specialties
8537,Harvard University
9256,University Of Arizona
ASSOC0058,American Society of Internal Medicine
Chemistry,Chemistry
JHP PHARMACUETICALS LLC,JHP PHARMACUETICALS LLC
Other,Other
KANETTA PHARMACAL,KANETTA PHARMACAL
9703,Southern Methodist University
ASSOC0033,American Board of Surgery
Abbott Laboratories Services Corp,Abbott Laboratories Services Corp
SMITHKLINE BEECHAM,SMITHKLINE BEECHAM
College of Engineering,College of Engineering
F500,University Of Wuerzburg
Cancer Center,Cancer Center
HYLAND IMMUNO,HYLAND IMMUNO
PRASCO LABORATORIES,PRASCO LABORATORIES
7238,Wake Forest University
Rebecca's New Startup,Rebecca's New Startup
9294,University Of Rochester
922,Kent State University
7458,University Of Arkansas
COUNTY LINE PHARMACEUTICALS  LLC,COUNTY LINE PHARMACEUTICALS  LLC
PAR PHARMACEUTICAL INC,PAR PHARMACEUTICAL INC
AMGEN INC.,AMGEN INC.
Department of the Interior,Department of the Interior
WEST-WARD PHARMACEUTICAL CORP,WEST-WARD PHARMACEUTICAL CORP
UPSTATE PHARMA  LLC,UPSTATE PHARMA  LLC
6816,Contra Costa Jr. College
ASSOC0045,American Institute of Ultrasound in Medicine
ABBOTT NUTRITION,ABBOTT NUTRITION
ASSOC0007,American Academy of Neurology
4041,University Of Alberta (Canada) 
ALCON -PUERTO RICO- INC.,ALCON -PUERTO RICO- INC.
9277,University Of Wisconsin-Madison
9564,Columbia University
ASSOC0071,National Eye Institute
NOVARTIS PHARMACEUTICALS CORPORATION,NOVARTIS PHARMACEUTICALS CORPORATION
ASSOC0052,American Society for Gastrointestinal Endoscopy
9267,University Of Kentucky Research Foundation
8602,Indiana University
High Definition Imaging Center,High Definition Imaging Center
ASSOC0023,American Board of Neurological Surgery
7022,University Of Toronto (Canada)
8351,Carnegie Mellon University
AMB,Ambergen
Western IRB,Western Institutional Review Board
9374,University Of Alaska
ASSOC0078,National Institute on Aging
9439,University And Community College System Of Nevada (Incl Unlv
BROOKSTONE PHARMACEUTICALS  LLC,BROOKSTONE PHARMACEUTICALS  LLC
9720,University Of Cincinnati
Dermatology,Dermatology
4779,University Of Torino (Incl Institute For Cancer Research)(It
9598,University Of New Mexico
RHODES PHARMACEUTICALS  LP,RHODES PHARMACEUTICALS  LP
7898,Mississippi State University
Clinical Research Center (GCRC),Clinical Research Center (GCRC)
MALLINCKRODT INC.,MALLINCKRODT INC.
7409,University Of Ottawa (Canada)
8763,Georgetown University
X-GEN PHARMACEUTICALS,X-GEN PHARMACEUTICALS
BEDFORD LABORATORIES,BEDFORD LABORATORIES
PATRIOT PHARMACEUTICALS LLC,PATRIOT PHARMACEUTICALS LLC
9272,University Of Southern California
V8PN,Portland Va Medical Center
JACOBUS PHARMACEUTICALS CO INC.,JACOBUS PHARMACEUTICALS CO INC.
ANIP ACQUISITION COMPANY,ANIP ACQUISITION COMPANY
ASSOC0039,American College of Physicians
ALPHARMA  USPD,ALPHARMA  USPD
SUN PHARMA GLOBAL FZE,SUN PHARMA GLOBAL FZE
ASSOC0009,American Academy of Orthopaedic Surgeons
9315,Western Medical Center
ASSOC0075,National Institute of Arthritis and Musculoskeletal and Skin Diseases
ASSOC0032,American Board of Radiology
4726,University Of Texas-Southwestern Medical Center At Dallas
EON LABS MANUFACTURING  INC.,EON LABS MANUFACTURING  INC.
9262,University Of Dayton
Medicine,Medicine
INTERNATIONAL LABS  INC.,INTERNATIONAL LABS  INC.
G AND W LABORATORIES INC,G AND W LABORATORIES INC
Environmental Health and Safety,Environmental Health and Safety
9010,Purdue University
Duke,Duke
GILEAD SCIENCES  INC.,GILEAD SCIENCES  INC.
ASSOC0088,Society of Thoracic Surgeons
DEPOMED,DEPOMED
9366,University Of Rhode Island
ASSOC0005,American Academy of Dermatology
8166,Boston University
Department of Commerce,Department of Commerce
576,Bastyr University
149,Occidental College
TAKEDA PHARMACEUTICALS,TAKEDA PHARMACEUTICALS
AFICR,Association for International Cancer Research
ASSOC0054,American Society of Addiction Medicine
ASSOC0019,American Board of Family Medicine
ASSOC0083,Society for Investigative Dermatology
ZYDUS PHARMACEUTICALS (USA),ZYDUS PHARMACEUTICALS (USA)
DAVA PHARMACEUTICALS,DAVA PHARMACEUTICALS
EPIC PHARMA  LLC,EPIC PHARMA  LLC
7156,University Of Denver
4557,University Of Montreal (Canada) 
BOEHRINGER INGELHEIM PHARMACEUTICALS,BOEHRINGER INGELHEIM PHARMACEUTICALS
ACTIENT PHARMACEUTICALS,ACTIENT PHARMACEUTICALS
902,Clarkson University
8937,North Carolina State University
Green Fields University,Green Fields University
ABRIKA PHARMACEUTICALS  LLP,ABRIKA PHARMACEUTICALS  LLP
9266,University Of Kansas
Computer Engineering,Computer Engineering
4222,Children'S Hospital National Medical Center
Squarespace Industries,Squarespace Industries
ASSOC0057,American Society of Clinical Oncology
GOLDEN STATE MEDICAL SUPPLY  INC.,GOLDEN STATE MEDICAL SUPPLY  INC.
RANBAXY PHARMACEUTICALS  INC.,RANBAXY PHARMACEUTICALS  INC.
XXY8,Addis Ababa University
Department of Justice,Department of Justice
TBD,TBD
LEGACY PACKAGING  LLC,LEGACY PACKAGING  LLC
9274,University Of Virginia
GENSIA LABORATORIES  LTD.,GENSIA LABORATORIES  LTD.
9261,University Of Delaware
V8JD,University Of Colorado At Boulder
V8HK,Fordham University
ASSOC0079,National Institute on Deafness and Other Communication Disorders
5962,University Affiliated Research Center (Uarc) (Nasa-Ames)
Office of Export Control Compliance,Office of Export Control Compliance
9260,University Of Connecticut
OTSUKA AMERICA,OTSUKA AMERICA
CDI,Cardiac Dimensions  Inc.
7294,Memphis State University
ALLEC,Allecure
ALVOGEN  INC.,ALVOGEN  INC.
9259,University Of Colorado
ASSOC0049,American Roentgen Ray Society
8911,New York University
9677,Oberlin College
741,Albany Medical College
GRACEWAY PHARMACEUTICALS  LLC,GRACEWAY PHARMACEUTICALS  LLC
8364,Dartmouth-Hitchcock Medical Center
ALAVEN PHARMACEUTICAL,ALAVEN PHARMACEUTICAL
VIROPHARMA INC,VIROPHARMA INC
9263,University Of Hawaii
VERSAPHARM,VERSAPHARM
ASSOC0027,American Board of Otolaryngology
ASTRAU,Astra USA  Inc.